ticker,shares,avg_cost_per_share,total_cost,current_price,current_value,unrealised_pnl,unrealised_pnl_pct,date_first_bought,last_updated
USB,4.59506,52.23,240.0,51.0,234.35,-5.65,-2.35,2026-03-11,2026-03-13
PNC,1.167088,205.64,240.0,201.13,234.74,-5.26,-2.19,2026-03-11,2026-03-13
HLT,0.562237,294.26,165.44,291.55,163.92,-1.52,-0.92,2026-03-12,2026-03-13
MNST,3.095338,77.11,238.68,77.11,238.68,0.0,0.0,2026-03-13,2026-03-13
